beta_hml,beta_mk,beta_mom,beta_smb,firmcode,industry,logv,sigma,skewness,region
0.004108322,0.56449904,0.034442306,-0.00459927,600275,11,9.110466245,0.41566186,0.17827707,7
0.008495335,0.59510737,0.085545342,0.009802008,600276,7,8.453912503,0.49785445,-0.31771467,10
0.000978493,0.41479176,0.053689482,0.001373236,600277,16,8.041010865,0.59170646,0.20480789,17
0.025921872,0.99145055,0.30121311,0.034986552,600278,14,7.669805987,2.6074976,8.9553337,25
0.013508074,0.73452336,0.11995269,0.030199648,600279,16,8.388613792,0.69908483,0.27021219,7
-0.000105983,0.79201469,0.17210765,0.027693439,600280,7,8.68817063,0.73276535,0.4387999,15
0.016150619,0.2770954,0.080390577,-0.001672217,600281,9,6.80954911,0.45162398,0.40535779,7
0.001641795,0.69256706,0.074053075,0.019214776,600282,12,7.423725984,0.63105703,0.46138622,23
0.000287854,0.86939206,0.091915326,0.019673916,600283,13,7.749901349,0.60952124,0.81594633,17
-0.001378166,0.60601801,0.095489662,0.022806659,600284,11,7.988107835,0.64783518,0.62653854,31
0.002073547,0.74029979,0.083796745,0.015529533,600285,16,6.876331926,0.52842273,-0.89524982,7
0.000566263,0.9939842,0.077153669,0.022233868,600287,15,8.394081541,0.56964727,-0.18658221,2
0.010286766,0.85877006,0.096618737,0.012002339,600288,15,8.954110635,0.55547922,0.032661552,3
0.010286766,0.85877006,0.096618737,0.012002339,600289,10,8.954110635,0.55547922,0.032661552,7
0.001138177,0.88385787,0.12219236,0.015195251,600290,9,7.985905745,0.47909185,0.3492342,10
0.001138169,0.88385833,0.12219207,0.015195259,600291,12,7.985905745,0.47909179,0.34923278,25
0.078669352,0.7864267,-0.063724178,0.014234575,600292,21,8.641094521,1.4661565,4.5256147,4
0.078669352,0.7864267,-0.063724178,0.014234575,600293,4,8.641094521,1.4661565,4.5256147,10
0.008881848,0.54950035,0.15291599,0.0157134,600295,11,7.886112529,0.56413522,0.13023122,9
0.008881848,0.54950035,0.15291599,0.0157134,600297,3,7.886112529,0.56413522,0.13023122,4
0.005141905,0.5845104,0.18522271,0.024056896,600298,7,8.239128193,0.70376144,1.3889484,2
-0.000744531,0.79614971,0.082521086,0.027430199,600299,3,8.52366415,0.64160876,0.2782927,7
-0.012923973,0.61573973,0.10329022,0.021792399,600300,7,8.169708403,0.71356306,1.3127803,27
0.002307184,0.92669216,0.15244165,0.019500494,600301,10,7.662028979,0.78594154,0.9361487,16
0.000562601,1.0029927,0.1822206,0.009766097,600302,10,7.934706282,1.0081536,3.3832867,9
-0.002414284,0.63730578,0.12625538,0.021600222,600303,3,7.984432613,0.59843545,0.59755827,7
0.001697447,0.69546949,0.13679923,0.026768,600305,16,8.655977003,0.68177337,0.24954176,9
-0.000805054,0.78486532,0.05456017,0.021362755,600306,9,8.325869743,0.62635605,-0.5272561,24
0.003640106,0.75352746,0.070744288,0.02597452,600307,6,7.602043259,0.61092889,0.36978218,14
0.01051072,0.63873363,0.093327159,0.009383927,600308,7,7.110043502,0.48801494,0.28085371,14
0.016835683,0.73350061,0.15054755,0.011877433,600309,12,8.137770584,0.67906265,-0.41609676,27
0.004902768,0.71317077,0.13899144,0.016927789,600310,3,9.115126384,0.61277621,0.55269512,24
0.002729331,0.61838067,0.10705463,0.018759021,600311,10,7.674178153,0.57183825,0.003076885,31
-6.91E-05,0.73229253,0.11399675,0.016414514,600312,1,8.358035782,0.50314453,0.053783,2
-0.000434897,0.6757936,0.1159942,0.015860179,600313,7,8.219528067,0.55228282,0.010681198,17
0.011682306,0.3901716,0.1146845,0.009041619,600315,10,7.034724525,0.86129508,5.2240024,8
0.00060732,0.4188826,0.074808339,0.019463188,600316,14,7.793919119,0.5853126,0.24539759,9
0.000756514,1.1402917,0.086253232,0.007196822,600317,9,8.882599791,0.65467049,-0.12333415,1
0.007042881,0.85140603,0.067576937,0.004449084,600318,7,8.615400262,0.42416572,-0.3912891,14
-0.003021109,0.34024447,0.15139846,-0.00437859,600319,10,8.553120391,1.6580116,7.3873502,17
